Name,Jname,Glitch #,Time of glitch (MJD),Error in time (days),dF/F (10^-9),Error in dF/F (10^-9),dF1/F1 (10^-3),Error in dF1/F1 (10^-3),Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs),dF0 (Hz)
B0531+21,J0534+2200,6,47767.504,0.003,81.0,0.4,3.4,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,2425.7007630000003
B0531+21,J0534+2200,7,48945.6,0.1,4.2,0.2,0.32,0.03,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,125.77707660000002
B0531+21,J0534+2200,8,50020.04,0.02,2.1,0.1,0.2,0.01,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,62.88853830000001
B0531+21,J0534+2200,9,50260.030999999995,0.004,31.9,0.1,1.73,0.03,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,955.3068437000001
B0531+21,J0534+2200,10,50458.94,0.03,6.1,0.4,1.1,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,182.6762303
B0531+21,J0534+2200,11,50489.7,0.2,0.8,0.3,-0.2,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,23.957538400000004
B0531+21,J0534+2200,12,50812.59,0.01,6.2,0.2,0.62,0.04,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,185.6709226
B0531+21,J0534+2200,13,51452.02,0.01,6.8,0.2,0.7,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,203.6390764
B0531+21,J0534+2200,14,51740.655999999995,0.002,25.1,0.3,2.9,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,751.6677673
B0531+21,J0534+2200,15,51804.75,0.02,3.5,0.1,0.53,0.03,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,104.81423050000001
B0531+21,J0534+2200,16,52084.072,0.001,22.6,0.1,2.07,0.03,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,676.8004598000001
B0531+21,J0534+2200,17,52146.758,0.0003,8.9,0.1,0.57,0.01,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,266.5276147
B0531+21,J0534+2200,18,52498.257000000005,0.002,3.4,0.1,0.7,0.02,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,101.8195382
B0531+21,J0534+2200,19,52587.2,0.01,1.7,0.1,0.5,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,50.9097691
B0531+21,J0534+2200,20,53067.078,0.0002,214.0,1,6.2,0.2,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,6408.641522000001
B0531+21,J0534+2200,21,53254.109000000004,0.002,4.9,0.1,0.2,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,146.73992270000002
B0531+21,J0534+2200,22,53331.17,0.01,2.8,0.2,0.7,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,83.8513844
B0531+21,J0534+2200,23,53970.19,0.0003,21.8,0.2,3.1,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,652.8429214
B0531+21,J0534+2200,24,54580.38,0.01,4.7,0.1,0.2,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,140.7505381
B0531+21,J0534+2200,25,55875.49,0.03,39.0,4,0.23,0.02,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,1167.929997
B0531+21,J0534+2200,26,57839.8,0.1,2.2,0.4,X,X,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,65.8832306
B0531+21,J0534+2200,27,58064.555,0.003,516.37,0.1,6.969,0.021,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,15463.69262951
B0531+21,J0534+2200,28,58237.357,0.005,4.08,0.22,0.46,0.11,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,122.18344584
B0531+21,J0534+2200,29,58470.7,0.2,2.3,0.6,X,X,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78E-10,1.11E-20,2,1.26E+03,68.8779229
