Name,Jname,Glitch #,Time of glitch (MJD),Error in time (days),dF/F (10^-9),Error in dF/F (10^-9),dF1/F1 (10^-3),Error in dF1/F1 (10^-3),Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs),dF0 (Hz)
J0631+1036,J0631+1036,6,52852.5,0.01,17.6,0.1,2.48,0.04,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,61.15357420480001
J0631+1036,J0631+1036,7,53230.1,0.1,1.6,0.1,0.4,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,5.5594158368
J0631+1036,J0631+1036,8,53366.0,1,1.9,0.1,0.3,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,6.6018063062
J0631+1036,J0631+1036,9,53622.6,0.2,1.1,0.1,0.2,0.03,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,3.8220983878000006
J0631+1036,J0631+1036,10,54099.0,2,0.4,0.1,-0.2,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,1.3898539592
J0631+1036,J0631+1036,11,54170.4,0.1,1.6,0.1,-0.1,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,5.5594158368
J0631+1036,J0631+1036,12,54632.53,0.002,43.2,0.1,3.3,0.2,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,150.10422759360003
J0631+1036,J0631+1036,13,55119.35,0.06,9.4,0.4,0.2,0.5,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,32.661568041200006
J0631+1036,J0631+1036,14,55276.7,0.3,7.5,0.6,X,X,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,26.059761735000002
J0631+1036,J0631+1036,15,55702.0,5,3277.9,0.8,2.7,0.6,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,11389.5057321542
J0631+1036,J0631+1036,16,58341.7,0.1,27.8,0.8,X,X,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,96.5948501644
J0631+1036,J0631+1036,17,58352.13,0.01,96.4,0.6,1.3,0.3,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,334.95480416720005
J0633+1746,J0633+1746,1,50382.0,X,0.6,X,X,X,195.13400000000001,4.266,98.475637,17.770252,0.237099442,1.10E-14,4.217639624,-1.95E-13,*,0.19,3.42E+05,2.5305837744
B0656+14,J0659+1414,1,50197.0,8,0.6,0.4,0.3,0.5,201.108,8.258,104.95081699999999,14.23872,0.384928623,5.49E-14,2.597884229,-3.71E-13,7.64E-25,0.288,1.11E+05,1.5587305374
B0656+14,J0659+1414,2,51017.0,3,1.3,0.1,2,1,201.108,8.258,104.95081699999999,14.23872,0.384928623,5.49E-14,2.597884229,-3.71E-13,7.64E-25,0.288,1.11E+05,3.3772494977
J0726-2612,J0726-2612,1,56913.0,25,2.8,0.9,-0.6,0.4,240.079,-4.644,111.53383000000001,-26.2106,3.442308488,2.93E-13,0.290502726,-2.47E-14,*,2.9,1.86E+05,0.8134076328
J0726-2612,J0726-2612,2,58791.0,0.5,510.0,1.6,1.7,0.7,240.079,-4.644,111.53383000000001,-26.2106,3.442308488,2.93E-13,0.290502726,-2.47E-14,*,2.9,1.86E+05,148.15639026
B0727-18,J0729-1836,1,51422.0,1,1.0,0.5,-2,3,233.76,-0.341,112.38473710000001,-18.6117344,0.510160345,1.90E-14,1.960168034,-7.28E-14,*,2,4.26E+05,1.960168034
B0727-18,J0729-1836,2,52150.0,3,4.0,1,6,2,233.76,-0.341,112.38473710000001,-18.6117344,0.510160345,1.90E-14,1.960168034,-7.28E-14,*,2,4.26E+05,7.840672136
J0729-1448,J0729-1448,1,52010.0,1,24.8,0.4,1.6,0.3,230.392,1.4240000000000002,112.31853999999998,-14.8102,0.251658714,1.13E-13,3.973635498,-1.79E-12,2.00E-23,2.681,3.52E+04,98.5461603504
J0729-1448,J0729-1448,2,54317.7,0.2,23.0,1,4,3,230.392,1.4240000000000002,112.31853999999998,-14.8102,0.251658714,1.13E-13,3.973635498,-1.79E-12,2.00E-23,2.681,3.52E+04,91.39361645400001
