Jname,Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs)
J0002+6216,117.327,-0.074,0.74238,62.26928,0.115363568,5.97E-15,8.668247827,-4.48E-13,*,6.357,3.06E+05
J0006+1834,108.172,-42.985,1.52,18.5831,0.69374767,2.10E-15,1.441446282,-4.36E-15,*,0.86,5.24E+06
J0007+7303,119.66,10.463,1.7571,73.0521,0.315873191,3.60E-13,3.165827392,-3.61E-12,4.10E-23,1.4,1.39E+04
J0011+08,106.228,-53.407,2.9,8.17,2.55287,*,0.391716,*,*,5.399,*
J0012+5431,117.231,-7.909,3.0971,54.5297,3.02530071,1.28E-16,0.330545653,-1.40E-17,*,5.425,3.74E+08
J0014+4746,116.497,-14.631,3.57396,47.77594,1.240699039,5.64E-16,0.805997239,-3.67E-16,7.30E-28,1.776,3.48E+07
J0021-0909,100.291,-70.726,5.46446,-9.1663,2.314130829,1.04E-15,0.432127686,-1.94E-16,*,25,3.53E+07
J0023+0923,111.383,-52.849,5.82032291,9.38996121,0.003050203,1.14E-20,327.8470206,-1.23E-15,*,1.818,4.23E+09
J0024-7204aa,305.895,-44.889,6.02363,-72.08128,0.00184,*,543.478261,*,*,4.521,*
J0024-7204ab,305.891,-44.891,6.034006,-72.0798894,0.003704639,9.82E-21,269.9317981,-7.16E-16,-8.00E-27,4.521,5.98E+09
J0024-7204ac,305.898,-44.902,6.02363,-72.06806,0.00274,*,364.963504,*,*,4.521,*
J0024-7204ad,305.898,-44.902,6.02363,-72.06806,0.00374,*,267.379679,*,*,4.521,*
J0024-7204C,305.923,-44.892,5.9598108,-72.075418,0.00575678,-4.99E-20,173.708219,1.50E-15,1.30E-27,4.521,*
J0024-7204D,305.881,-44.893,6.0578372,-72.07884789,0.005357573,-3.42E-21,186.6516699,1.19E-16,-1.20E-27,4.521,*
J0024-7204E,305.883,-44.883,6.046272,-72.08893033,0.003536329,9.85E-20,282.779107,-7.88E-15,2.90E-27,4.521,5.69E+08
J0024-7204F,305.899,-44.892,6.0160645,-72.07856064,0.002623579,6.45E-20,381.1586637,-9.37E-15,6.80E-27,4.521,6.44E+08
J0024-7204G,305.891,-44.893,6.0331679,-72.07769528,0.004040379,-4.22E-20,247.5015251,2.58E-15,6.00E-27,4.521,*
J0024-7204H,305.896,-44.902,6.02793,-72.06855742,0.003210341,-1.83E-21,311.4934178,1.78E-16,1.60E-25,4.521,*
J0024-7204I,305.892,-44.893,6.0330612,-72.07768931,0.003484992,-4.59E-20,286.9446995,3.78E-15,-3.35E-26,4.521,*
J0024-7204J,305.909,-44.903,5.9975321,-72.06633078,0.002100634,-9.79E-21,476.0468584,2.22E-15,2.00E-26,4.521,*
J0024-7204L,305.898,-44.888,6.0157171,-72.0824786,0.004346168,-1.22E-19,230.0877463,6.46E-15,-1.30E-27,4.521,*
J0024-7204M,305.913,-44.877,5.9770413,-72.0918767,0.003676643,-3.84E-20,271.9872288,2.84E-15,7.00E-27,4.521,*
J0024-7204N,305.89,-44.897,6.0382833,-72.07469186,0.003053954,-2.19E-20,327.4443186,2.34E-15,-9.00E-27,4.521,*
J0024-7204O,305.897,-44.889,6.0193856,-72.08160194,0.002643343,3.03E-20,378.3087884,-4.34E-15,4.38E-26,4.521,1.38E+09
J0024-7204P,305.872,-44.904,6.08,-72.069,0.003643021,6.60E-19,274.49748,-5.00E-14,*,4.521,8.70E+07
J0024-7204Q,305.877,-44.899,6.0687121,-72.07365678,0.004033181,3.40E-20,247.9432374,-2.09E-15,7.00E-28,4.521,1.88E+09
J0024-7204R,305.892,-44.89,6.0316046,-72.08066539,0.003480463,1.48E-19,287.3181195,-1.22E-14,-8.50E-27,4.521,3.72E+08
J0024-7204S,305.898,-44.892,6.0165808,-72.07843139,0.002830406,-1.21E-19,353.3062094,1.50E-14,-7.80E-27,4.521,*
J0024-7204T,305.89,-44.894,6.035621,-72.0774811,0.00758848,2.94E-19,131.7786995,-5.10E-15,-3.00E-27,4.521,4.09E+08
J0024-7204U,305.89,-44.905,6.0409858,-72.06658006,0.004342827,9.52E-20,230.2647722,-5.05E-15,1.88E-26,4.521,7.23E+08
J0024-7204V,305.895,-44.889,6.02363,-72.08128,0.004810168,*,207.892963,*,*,4.521,*
J0024-7204W,305.894,-44.89,6.025242,-72.0803022,0.002352345,-8.66E-20,425.1077963,1.56E-14,*,4.521,*
J0024-7204X,305.877,-44.952,6.0932735,-72.0215115,0.004771523,1.84E-20,209.5766946,-8.06E-16,*,4.521,4.12E+09
J0024-7204Y,305.903,-44.891,6.0058442,-72.07828786,0.002196657,-3.52E-20,455.2371784,7.29E-15,-2.11E-26,4.521,*
J0024-7204Z,305.894,-44.887,6.025171,-72.0837444,0.004554447,-4.54E-21,219.565606,2.19E-16,8.00E-27,4.521,*
J0026-1955,83.291,-80.829,6.65,-19.93306,1.30615,*,0.765609,*,*,25,*
J0026+6320,120.176,0.593,6.71067,63.333575,0.318357771,1.51E-16,3.141120123,-1.49E-15,*,6.619,3.35E+07
J0030+0451,113.141,-57.611,7.61428128,4.861031,0.004865453,1.02E-20,205.5306991,-4.30E-16,*,0.324,7.58E+09
J0033+57,120.41,-5.781,8.25,57,0.315,*,3.174603,*,*,2.251,*
J0033+61,120.698,-1.792,8.25,61,0.912,*,1.096491,*,*,1.654,*
J0034-0534,111.492,-68.069,8.5909759,-5.5768672,0.001877182,4.97E-21,532.7134297,-1.41E-15,*,1.348,5.99E+09
J0034-0721,110.42,-69.815,8.5369596,-7.3648358,0.942950995,4.08E-16,1.060500499,-4.59E-16,*,1.03,3.66E+07
J0034+69,121.411,6.896,8.5,69.7,0.03680412,*,27.17087,*,*,2.283,*
J0036-1033,110.033,-73.044,9.06254,-10.5539,0.900009289,2.13E-16,1.111099643,-2.63E-16,*,25,6.69E+07
J0038-2501,67.413,-86.354,9.54277,-25.025203,0.256926458,7.60E-19,3.892164356,-1.15E-17,*,0.604,5.36E+09
J0039+35,120.121,-27.054,9.78,35.75,0.5367,*,1.863238,*,*,25,*
J0040+5716,121.452,-5.567,10.1349579,57.2735647,1.118225345,2.88E-15,0.894274132,-2.30E-15,-1.20E-28,2.42,6.15E+06
J0043-73,303.737,-43.932,10.9,-73.18,0.93742937,*,1.066747,*,*,58.938,*
J0045-7042,303.652,-46.418,11.357,-70.702,0.6323358,2.49E-15,1.581438217,-6.23E-15,*,59.7,4.02E+06
J0045-7319,303.514,-43.804,11.3965,-73.3175,0.926275905,4.46E-15,1.079591939,-5.20E-15,8.20E-25,59.7,3.29E+06
J0048+3412,122.255,-28.666,12.1416,34.20223,1.217094296,2.35E-15,0.821629025,-1.59E-15,-1.00E-27,4.5,8.19E+06
J0050+03,122.485,-59.071,12.6,3.8,1.36656,*,0.731764,*,*,25,*
J0051+0423,122.962,-58.491,12.8754,4.3803,0.354731799,7.00E-18,2.819031175,-5.60E-17,*,1.25,8.03E+08
J0052-72,302.82,-45.045,13.1,-72.08,0.191444328,*,5.2234507,*,*,60.261,*
J0054+66,123.193,3.13,13.5,66,1.39,*,0.719424,*,*,0.901,*
J0054+69,123.2,6.563,13.62,69.43,*,*,*,*,*,2.347,*
J0054+6946,123.241,6.902,13.74632,69.771347,0.832911329,7.19E-16,1.200607995,-1.04E-15,*,2.758,1.83E+07
J0055+5117,123.621,-11.576,13.9391588,51.2901669,2.115171149,9.54E-15,0.472774981,-2.13E-15,7.80E-28,2.857,3.51E+06
J0056+4756,123.796,-14.927,14.1063,47.93626,0.472036662,3.33E-15,2.118479517,-1.49E-14,-2.70E-26,1.123,2.25E+06
J0057-7201,302.244,-45.098,14.4333,-72.0219,0.738062443,1.00E-16,1.354898911,-1.80E-16,*,3.476,1.17E+08
J0058+4950,124.045,-13.017,14.54162,49.84056,0.996023452,8.04E-16,1.003992424,-8.10E-16,*,2.646,1.96E+07
J0058+6125,123.717,-1.445,14.5,61.41667,0.637,*,1.569859,*,*,2.597,*
J0058-7218,302.199,-44.817,14.5696,-72.3017,0.021766108,2.90E-14,45.942987,-6.10E-11,*,59.7,1.19E+04
J0059+69,123.629,7.056,14.88,69.92,1.1459,*,0.872676,*,*,2.048,*
J0100-7211,301.93,-44.918,15.1793,-72.19267,8.020392,1.88E-11,0.12468219,-2.92E-13,*,59.7,6.76E+03
J0100+8023,123.318,17.53,15.06704,80.394931,1.493600919,3.54E-16,0.669522888,-1.59E-16,*,2.848,6.68E+07
J0101-6422,301.192,-52.72,15.2963179,-64.3750475,0.002573152,5.16E-21,388.6284257,-7.79E-16,*,1.001,7.90E+09
J0102+4839,124.874,-14.167,15.711117,48.661878,0.00296,1.17E-20,337.837838,-1.34E-15,*,2.31,4.01E+09
J0102+6537,124.08,2.773,15.6374642,65.6203933,1.679164229,5.95E-15,0.595534363,-2.11E-15,-2.87E-26,2.5,4.47E+06
J0103+54,124.741,-8.796,15.9,54.03,0.354304,*,2.82243,*,*,2.01,*
J0104+64,124.308,1.162,16,0,0,0,0,0,0,*,
J0106+4855,125.465,-13.867,16.60442,48.93106,0.083157305,4.28E-16,12.02540174,-6.19E-14,*,3.063,3.08E+06
J0107+1322,128.991,-49.305,16.91646,13.3755,1.197383394,6.87E-16,0.835154392,-4.79E-16,*,2.349,2.76E+07
J0108-1431,140.93,-76.815,17.0347792,-14.5306075,0.807564614,7.70E-17,1.238291008,-1.18E-16,-8.90E-27,0.21,1.66E+08
J0108+6608,124.646,3.328,17.0937704,66.1429164,1.283659843,1.31E-14,0.779022578,-7.92E-15,3.10E-25,2.128,1.56E+06
J0108+6905,124.461,6.277,17.12293,69.09795,1.07111811,4.81E-17,0.933603858,-4.19E-17,-7.80E-28,1.981,3.53E+08
J0109+11,129.793,-51.104,17.2,11.5,0.4327,*,2.31107,*,*,1.566,*
J0110-22,163.377,-83.36,17.5,1.262,mss+20,*,mss+20,*,*,,
J0111+6624,124.928,3.609,17.8412,66.403,4.301872101,8.36E-15,0.232456934,-4.52E-16,*,2.412,8.15E+06
J0111-7131,300.669,-45.51,17.8699,-71.52967,0.688541512,7.09E-15,1.452345259,-1.50E-14,*,59.7,1.54E+06
J0113-7220,300.615,-44.688,18.29621,-72.34228,0.325883016,4.86E-15,3.068585813,-4.58E-14,*,59.7,1.06E+06
J0115+6325,125.648,0.687,18.94112,63.43078,0.521455427,1.60E-15,1.917709448,-5.88E-15,*,1.931,5.17E+06
J0117+5914,126.283,-3.457,19.411088,59.243997,0.101439066,5.85E-15,9.858134885,-5.69E-13,-3.38E-24,1.768,2.75E+05
J0121+53,127.378,-9.133,20,53.5,2.7247846,*,0.36700149,*,*,2.644,*
J0122+1416,134.03,-47.94,20.50546,14.2714,1.38899395,3.80E-15,0.71994554,-1.97E-15,*,1.584,5.79E+06
J0125-2327,189.069,-81.541,21.29167,-23.45722,0.00367586,*,272.045181,*,*,0.873,*
J0125+62,126.899,-0.022,21.5,62.6,1.708233,*,0.5854,*,*,2.403,*
J0131-7310,298.944,-43.648,22.86879,-73.16926,0.348124046,1.76E-15,2.872539294,-1.45E-14,*,59.7,3.13E+06
J0133-6957,297.691,-46.739,23.38525,-69.958244,0.463473742,1.20E-16,2.157619537,-5.59E-16,*,2.441,6.12E+07
J0134-2937,230.251,-80.25,23.5778433,-29.6214006,0.136961611,7.84E-17,7.301316013,-4.18E-15,*,25,2.77E+07
J0137+1654,138.449,-44.571,24.3495,16.91169,0.414763027,1.22E-17,2.411015293,-7.11E-17,*,3.061,5.37E+08
J0137+6349,127.955,1.402,24.30569,63.82621,0.717962727,9.60E-16,1.392829965,-1.86E-15,*,9.097,1.19E+07
J0139+3336,134.381,-28.174,24.98846,33.6166,1.247960956,2.06E-15,0.801307121,-1.33E-15,*,1.472,9.58E+06
J0139+5621,129.609,-5.885,24.91067,56.36022,1.775343826,7.91E-14,0.563271173,-2.51E-14,*,2.41,3.56E+05
J0139+5814,129.216,-4.044,24.83225,58.242172,0.272450631,1.07E-14,3.670389738,-1.44E-13,*,2.6,4.03E+05
J0141+6009,129.147,-2.105,25.41641,60.158973,1.222948521,3.91E-16,0.817695907,-2.61E-16,2.70E-28,2.3,4.95E+07
J0141+63,128.497,0.798,25.2,63.13,0.04668588,*,21.4198,*,*,8.774,*
J0146+31,136.532,-30.353,26.56,31.07,0.9381,*,1.065984,*,*,1.826,*
J0146+6145,129.384,-0.431,26.5934,61.75078,8.6889941,1.99E-12,0.115088121,-2.64E-14,*,3.6,6.91E+04
J0147+5922,130.059,-2.723,26.9360142,59.3675789,0.196321375,2.57E-16,5.093688845,-6.66E-15,3.39E-26,2.128,1.21E+07
J0151-0635,160.368,-65.004,27.8446579,-6.5841631,1.464664549,4.43E-16,0.68275019,-2.06E-16,*,25,5.24E+07
J0152+0948,146.812,-50.221,28.0989,9.8028,2.74664729,1.70E-15,0.364080238,-2.25E-16,*,2.477,2.56E+07
J0152-1637,179.306,-72.457,28.0452246,-16.6315669,0.832741613,1.30E-15,1.200852683,-1.87E-15,-4.98E-27,0.92,1.02E+07
J0154+1833,143.185,-41.81,28.65367804,18.564099,0.00236457,2.92E-21,422.9099137,-5.22E-16,*,1.622,1.28E+10
J0156+04,151.975,-55.155,29,4.03,*,*,*,*,*,25,*
J0156+3949,136.369,-21.332,29.2302,39.8246,1.811560611,1.52E-16,0.552010236,-4.62E-17,1.30E-27,4.916,1.89E+08
J0157+6212,130.586,0.326,29.4580975,62.2074022,2.351744936,1.89E-13,0.425216181,-3.42E-14,*,1.786,1.97E+05
J0158+21,143.208,-39.084,29.62,21.13,0.5053,*,1.979022,*,*,1.569,*
J0201+7005,128.889,8.033,30.42227,70.088364,1.349184472,5.51E-15,0.741188489,-3.03E-15,*,1.172,3.88E+06
J0203-0150,160.317,-59.365,30.89130062,-1.8337743,0.005173322,1.43E-20,193.2993976,-5.34E-16,*,1.837,5.74E+09
J0205+6449,130.719,3.084,31.4080103,64.8281484,0.065715928,1.94E-13,15.2170109,-4.49E-11,5.85E-21,3.2,5.37E+03
J0206-4028,258.595,-69.633,31.50539,-40.467672,0.63055126,1.20E-15,1.585913889,-3.01E-15,*,1.26,8.35E+06
J0209+5759,133.162,-3.314,32.40543,57.99592,1.063906283,1.39E-14,0.939932414,-1.23E-14,*,1.743,1.21E+06
J0210+5845,133.098,-2.543,32.7308,58.7511,1.766208099,1.34E-13,0.566184699,-4.30E-14,*,1.952,2.09E+05
J0211-8159,299.592,-34.606,32.9958,-81.99339,1.077332701,2.90E-16,0.928218366,-2.50E-16,*,1.523,5.89E+07
J0212+5222,135.331,-8.52,33.21724,52.380417,0.376386364,6.60E-15,2.65684439,-4.66E-14,*,1.558,9.04E+05
J0214+5222,135.632,-8.423,33.730297,52.37804,0.024575295,2.99E-19,40.6912718,-4.95E-16,*,1.161,1.30E+09
J0215+6218,132.575,1.03,33.98595,62.30927,0.548879819,6.62E-16,1.821892453,-2.20E-15,3.20E-26,2.004,1.31E+07
J0218+4232,139.508,-17.527,34.52649404,42.53815976,0.002323091,7.74E-20,430.4610545,-1.43E-14,2.80E-26,3.15,4.76E+08
J0220+3626,142.317,-23.04,35.1755,36.44881,1.0297,*,0.971157,*,*,2.24,*
J0227+3356,144.657,-24.87,36.73775,33.941044,1.24010246,2.85E-15,0.806384982,-1.85E-15,*,1.595,6.89E+06
J0229+20,151.579,-36.417,37.26,20.97,0.8069,*,1.239311,*,*,2.089,*
J0231+7026,131.155,9.181,37.80832,70.44275,1.466820306,3.11E-15,0.681746766,-1.45E-15,1.90E-28,1.755,7.47E+06
J0241+16,157.964,-39.185,40.44,16.07,1.5454,*,0.647082,*,*,0.936,*
J0242+62,135.187,2.751,40.646,62.947,0.592,*,1.689189,*,*,0.217,*
J0243+6027,136.271,0.5,40.75,60.45,1.473,*,0.678887,*,*,2.717,*
J0244+14,159.914,-40.14,41.21,14.45,2.1281,*,0.469903,*,*,2.796,*
J0248+4230,144.877,-15.322,42.129179,42.505692,0.002600835,1.69E-20,384.4919353,-2.49E-15,*,1.853,2.44E+09
J0248+6021,136.903,0.697,42.077571,60.359644,0.217094,5.51E-14,4.6063,-1.17E-12,*,2,6.24E+04
J0250+5854,137.767,-0.505,42.57408,58.90036,23.53537848,2.72E-14,0.042489225,-4.90E-17,*,1.558,1.37E+07
J0251+2606,153.881,-29.486,42.76064,26.102769,0.002541554,7.57E-21,393.4600105,-1.17E-15,*,1.17,5.32E+09
J0255-5304,269.862,-55.31,43.984552,-53.072576,0.447708473,3.13E-17,2.233596324,-1.56E-16,*,1.514,2.27E+08
J0301+35,150.915,-20.736,45.2,0.1468,mss+20,*,mss+20,*,*,,
J0302+2252,158.436,-30.815,45.633292,22.87003,1.20716484,8.25E-17,0.828387282,-5.66E-17,*,1.014,2.32E+08
J0304+1932,161.135,-33.27,46.13798,19.5476,1.387584446,1.30E-15,0.720676859,-6.73E-16,-2.45E-27,0.739,1.70E+07
J0305+11,167.463,-39.662,46.27,11.38,0.8621,*,1.159958,*,*,1.838,*
J0307+7443,131.704,14.223,46.97917,74.72,0.00316,*,316.455696,*,*,0.386,*
J0312-0921,191.51,-52.378,48.02583,-9.36556,0.003704,1.97E-20,269.978402,-1.44E-15,*,0.817,2.98E+09
J0317+13,168.763,-36.04,49.48,13.48,1.9743,*,0.506509,*,*,0.366,*
J0318+0253,178.457,-43.605,49.564754,2.883744,0.005189852,1.76E-20,192.6837155,-6.54E-16,*,1.328,4.67E+09
J0323+3944,152.18,-14.338,50.8610913,39.7478897,3.032071956,6.36E-16,0.329807476,-6.91E-17,6.70E-29,0.952,7.56E+07
J0324+5239,145.094,-3.48,51.23108,52.65869,0.33662023,3.81E-16,2.970706779,-3.36E-15,*,2.29,1.40E+07
J0325+6744,136.715,9.089,51.27133,67.74983,1.364678767,1.55E-15,0.73277318,-8.34E-16,*,1.929,1.39E+07
J0329+1654,168.499,-31.683,52.28563,16.9006,0.893319661,2.15E-16,1.119420118,-2.70E-16,*,2.557,6.58E+07
J0332+5434,144.995,-1.221,53.24754,54.5787025,0.7145197,2.05E-15,1.399541539,-4.01E-15,5.30E-28,1.695,5.53E+06
J0335+4555,150.348,-8.038,53.81934,45.9315144,0.269200541,7.35E-18,3.714702788,-1.01E-16,-3.70E-28,2.439,5.80E+08
J0335+6623,138.383,8.588,53.9878,66.3899,1.761934247,4.81E-15,0.567558069,-1.55E-15,*,1.907,5.80E+06
J0337+1715,169.99,-30.039,54.4326079,17.2541189,0.002732589,1.77E-20,365.9533631,-2.37E-15,*,1.3,2.45E+09
J0337+79,130.58,18.709,54.3,2.05621,kkl+15,*,kkl+15,*,*,,
J0340+4130,153.783,-11.022,55.09703317,41.51258087,0.003299339,7.05E-21,303.0909794,-6.47E-16,*,1.603,7.42E+09
J0341+5711,144.371,1.546,55.25,57.18333,1.888,*,0.529661,*,*,2.037,*
J0343+06,180.791,-36.929,55.8,0,0,0,0,0,0,*,
J0343-3000,227.758,-52.338,55.86642,-30.00764,2.597027157,5.70E-17,0.385055658,-8.50E-18,*,1.594,7.22E+08
J0343+5312,147.017,-1.428,55.80379,53.21484,1.934478067,1.34E-14,0.5169353,-3.59E-15,-1.80E-27,1.705,2.28E+06
J0344-0901,197.397,-45.333,56.156129,-9.01741,1.226005573,3.47E-15,0.815656978,-2.31E-15,*,1.507,5.60E+06
J0348+0432,183.337,-36.774,57.18182917,4.53651611,0.039122657,2.41E-19,25.56063619,-1.57E-16,*,2.1,2.57E+09
J0349+2340,167.434,-23.384,57.48908,23.6814,2.420770978,1.10E-15,0.413091535,-1.88E-16,*,3.746,3.49E+07
J0355+28,165.177,-19.444,58.8,0.0943,mss+20,*,*,*,1.789,,
J0357-05,195.176,-40.525,59.5,0,0,0,0,0,0,*,
J0357+3205,162.76,-16.006,59.4688,32.0903,0.444104499,1.30E-14,2.251722292,-6.61E-14,*,0.835,5.40E+05
J0357+5236,149.099,-0.522,59.4368346,52.6159703,0.197030098,4.77E-16,5.075366708,-1.23E-14,1.03E-26,3.571,6.55E+06
J0358+4155,156.112,-8.62,59.513228,41.921954,0.226484332,1.46E-16,4.415316459,-2.84E-15,*,1.481,2.46E+07
J0358+5413,148.19,0.811,59.7238492,54.2204956,0.156384122,4.39E-15,6.394511093,-1.80E-13,4.10E-25,1,5.64E+05
J0358+6627,140.128,10.064,59.658038,66.462937,0.091505781,1.09E-17,10.92827133,-1.30E-15,*,1.884,1.33E+08
J0359+5414,148.231,0.883,59.85837,54.24881,0.079427232,1.67E-14,12.59014032,-2.65E-12,*,*,7.52E+04
J0401-7608,290.313,-35.907,60.46563,-76.136931,0.545254187,1.54E-15,1.834007009,-5.19E-15,*,1.014,5.60E+06
J0402+4825,152.428,-3.177,60.6693,48.432642,0.512194449,2.76E-16,1.952383519,-1.05E-15,*,1.849,2.95E+07
J0405+3347,163.26,-14.318,61.25,33,0,0,mss+20,*,*,,
J0406+30,165.571,-16.338,61.5,0.0026,mss+20,*,*,*,1.641,,
J0406+6138,144.025,7.046,61.6253358,61.6448356,0.594576165,5.57E-15,1.681870312,-1.58E-14,*,4.545,1.69E+06
J0407+1607,176.618,-25.656,61.978912,16.12122,0.025701739,7.90E-20,38.90787283,-1.20E-16,*,1.337,5.15E+09
J0408+551,148.663,2.267,62,55,1.837,*,0.544366,*,*,1.573,*
J0408+552,148.663,2.267,62,55,0.754,*,1.32626,*,*,1.661,*
J0410-31,230.586,-46.671,62.66,-31.12,1.8785,*,0.53234,*,*,0.415,*
J0413+58,147.122,4.934,63.25,58,0.687,*,1.455604,*,*,1.63,*
J0414+31,166.112,-14.415,63.5,1.081,mss+20,*,mss+20,*,*,,
J0415+6954,138.911,13.667,63.981889,69.902747,0.39071509,7.66E-17,2.559409723,-5.02E-16,1.80E-27,1.368,8.08E+07
J0417+35,163.219,-10.518,64.43,35.75,0.6544,*,1.52812,*,*,1.48,*
J0417+61,145.299,7.54,64.2,61.1,0.440283,*,2.27127,*,*,1.837,*
J0418-4154,246.262,-45.682,64.5157283,-41.904006,0.757118945,1.32E-15,1.32079643,-2.30E-15,*,2.519,9.09E+06
J0418+5732,147.979,5.119,64.64111,57.5397,9.07838822,4.10E-15,0.110151712,-4.97E-17,*,*,3.51E+07
J0418+6635,141.525,11.536,64.7,66.59028,0.00291,*,343.642612,*,*,2.206,*
J0419+44,157.525,-4.494,64.75,44,1.241,*,0.805802,*,*,1.687,*
J0420-5022,258.136,-44.386,65.00813,-50.38003,3.453004027,2.76E-14,0.289602906,-2.31E-15,*,*,1.98E+06
J0421-0345,197.504,-34.757,65.38982,-3.75184,2.161308495,1.16E-15,0.462682677,-2.49E-16,1.90E-27,2.196,2.94E+07
J0421+3255,165.84,-11.921,65.3883,32.931,0.900105016,6.00E-17,1.110981477,-7.40E-17,*,1.939,2.38E+08
J0426+4933,154.436,0.288,66.528387,49.560683,0.92247473,3.93E-14,1.084040535,-4.62E-14,*,1.795,3.71E+05
J0435+2749,171.842,-13.071,68.965908,27.81714,0.326279453,8.17E-18,3.064857408,-7.67E-17,*,1.521,6.33E+08
J0437-4715,253.394,-41.963,69.31623406,-47.25253075,0.005757452,5.73E-20,173.6879458,-1.73E-15,*,0.157,1.59E+09
J0447-04,202.072,-29.657,71.8,-4.6,2.18819,*,0.456999,*,*,0.675,*
J0448-2749,228.347,-37.918,72.1732,-27.82965,0.450448331,1.48E-16,2.220010446,-7.31E-16,-1.80E-28,1.809,4.81E+07
J0449-7031,282.286,-35.512,72.2736,-70.52547,0.479163971,3.37E-15,2.086968261,-1.47E-14,*,49.7,2.25E+06
J0450-1248,211.075,-32.629,72.536588,-12.80197,0.438014149,1.03E-16,2.283031271,-5.35E-16,-9.30E-28,1.774,6.76E+07
J0451-67,278.41,-36.29,73,-67.3,0.24545429,0.00E+00,4.0740783,0,*,49.7,*
J0452-1759,217.078,-34.087,73.1421071,-17.9898253,0.548939223,5.75E-15,1.821695294,-1.91E-14,3.40E-27,0.4,1.51E+06
J0453+1559,184.125,-17.137,73.4392237,15.9892517,0.045781817,1.86E-19,21.84273295,-8.88E-17,*,0.522,3.90E+09
J0454+4529,160.706,1.243,73.74712,45.49631,1.389136936,4.89E-15,0.719871435,-2.53E-15,*,0.765,4.50E+06
J0454+5543,152.617,7.547,73.5322942,55.7281769,0.340729436,2.37E-15,2.934879977,-2.04E-14,*,1.18,2.28E+06
J0455-6951,281.29,-35.187,73.9481,-69.85953,0.320422712,1.02E-14,3.120877404,-9.95E-14,*,49.7,4.97E+05
J0456-69,280.457,-35.334,74.125,-69.16667,0.117073051,*,8.5416754,*,*,49.7,*
J0456-7031,282.049,-34.966,74.0104,-70.5185,0.800132073,3.67E-14,1.24979367,-5.73E-14,*,49.7,3.45E+05
J0457+23,178.305,-12.005,74.28,23.57,0.5049,*,1.98059,*,*,1.517,*
J0457-6337,273.816,-36.701,74.2825,-63.6251,2.497011696,2.10E-16,0.400478701,-3.40E-17,*,1.333,1.88E+08
J0457-69,281.143,-35.113,74.25833,-69.76667,0.231390388,*,4.3217007,*,*,49.7,*
J0458-0505,204.139,-27.348,74.65467,-5.0847,1.883479658,5.30E-16,0.530932201,-1.50E-16,*,1.938,5.63E+07
J0458-67,278.67,-35.518,74.74583,-67.71667,1.1339,*,0.881912,*,*,49.7,*
J0459-0210,201.444,-25.678,74.96642,-2.16851,1.133076124,1.40E-15,0.882553236,-1.09E-15,-1.90E-27,0.16,1.28E+07
J0501+4516,161.547,1.949,75.27817,45.27609,5.76209653,5.82E-12,0.173547943,-1.75E-13,6.90E-21,2,1.57E+04
J0502+4654,160.363,3.077,75.519004,46.90169,0.638565482,5.58E-15,1.56601011,-1.37E-14,1.13E-26,1.319,1.81E+06
J0502-6617,276.869,-35.504,75.7105,-66.2997,0.691251418,2.31E-14,1.446651643,-4.83E-14,*,49.7,4.74E+05
J0506+50,157.896,5.803,76.55875,50.50833,0.00339,*,294.985251,*,*,1.383,*
J0509+0856,192.486,-17.931,77.34264521,8.9402847,0.004055838,4.41E-21,246.5581571,-2.68E-16,*,0.817,1.46E+10
J0509+37,168.605,-1.562,77.2,37.5,2.4961,*,0.400625,*,*,0.93,*
J0509+3801,168.275,-1.187,77.3824504,38.02169,0.076541349,7.93E-18,13.0648338,-1.35E-15,*,1.562,1.53E+08
J0511-6508,275.25,-34.827,77.98542,-65.14347,0.322061827,2.06E-16,3.10499387,-1.99E-15,*,0.818,2.48E+07
J0514-4002A,244.514,-35.036,78.5278863,-40.0469147,0.004990575,7.00E-22,200.3777074,-2.80E-17,-1.53E-24,11.95,1.13E+11
J0514-4002B,244.513,-35.036,78.528,-40.04664,0.0028163,*,355.075809,*,*,11.95,*
J0514-4002C,244.514,-35.036,78.52788,-40.04706,0.0055648,*,179.700978,*,*,11.95,*
J0514-4002D,244.513,-35.036,78.528,-40.04672,0.0045544,*,219.56789,*,*,11.95,*
J0514-4002E,244.513,-35.036,78.5278,-40.04658,0.0055959,*,178.702264,*,*,11.95,*
J0514-4002F,244.513,-35.036,78.5279,-40.0468,0.0043294,*,230.978889,*,*,11.95,*
J0514-4002G,244.513,-35.036,78.5276,-40.04669,0.0038028,*,262.964132,*,*,11.95,*
J0514-4002H,244.513,-35.037,78.5275,-40.0467,0.0055061,*,181.616752,*,*,11.95,*
J0514-4002I,244.513,-35.036,78.5281,-40.04672,0.0326542,*,30.623932,*,*,11.95,*
J0514-4002J,244.513,-35.036,78.5279,-40.0467,0.0066329,*,150.763618,*,*,11.95,*
J0514-4002K,244.513,-35.036,78.5283,-40.0467,0.004692,*,213.12873,*,*,11.95,*
J0514-4002L,244.513,-35.036,78.5283,-40.0467,0.0029588,*,337.974855,*,*,11.95,*
J0514-4002M,244.513,-35.036,78.528,-40.047,0.0047978,*,208.428863,*,*,11.95,*
