Jname,Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs)
J1920+1110,46.152,-1.199,290.0555,11.1831,0.50988582,1.56E-16,1.961223395,-6.00E-16,*,6.319,5.18E+07
J1920+1515g,49.76,0.679,290.09,15.25,1.60276,*,0.623924,*,*,15.739,*
J1920+2650,60.068,6.027,290.15989,26.844,0.78552185,3.44E-17,1.273039064,-5.57E-17,2.90E-28,1.722,3.62E+08
J1921+0137,37.825,-5.938,290.3762819,1.6237608,0.002496372,1.94E-20,400.5813534,-3.11E-15,*,5.086,2.04E+09
J1921-05,31.483,-9.033,290.27,-5.38,2.22759,*,0.448916,*,*,4.077,*
J1921-0510,31.724,-9.032,290.37271,-5.16967,0.79425388,6.03E-16,1.259043268,-9.55E-16,*,5.604,2.09E+07
J1921+0812,43.71,-2.934,290.44877,8.21441,0.210648412,5.36E-15,4.747246799,-1.21E-13,*,2.896,6.22E+05
J1921+0921,44.733,-2.418,290.47286,9.35839,0.562302288,9.58E-15,1.778402864,-3.03E-14,*,6.139,9.30E+05
J1921+1259g,47.865,-0.586,290.32,12.98,0.57316,*,1.744714,*,*,8.227,*
J1921+1340g,48.491,-0.308,290.38,13.67,4.60294,*,0.217252,*,*,25,*
J1921+1419,49.058,0.021,290.35067,14.32141,0.618182591,5.60E-15,1.617645037,-1.47E-14,3.70E-26,2.81,1.75E+06
J1921+1505g,49.732,0.377,290.35,15.08,0.6119,*,1.634254,*,*,10.631,*
J1921+1544,50.35,0.609,290.443635,15.738183,0.143575681,9.80E-16,6.964967815,-4.76E-14,*,9.038,2.32E+06
J1921+1630,50.949,1.138,290.25059,16.5155,0.936448008,2.23E-14,1.067864945,-2.55E-14,*,5.097,6.64E+05
J1921+1929,53.619,2.453,290.3472946,19.4895275,0.002646341,3.82E-20,377.8801863,-5.45E-15,*,2.434,1.10E+09
J1921+1948,53.869,2.672,290.26583,19.81241,0.821035081,8.96E-16,1.217974754,-1.33E-15,1.70E-27,4.322,1.45E+07
J1921+2003,54.172,2.621,290.46499,20.0558,0.760681389,5.00E-17,1.31461084,-8.64E-17,*,3.292,2.41E+08
J1921+2153,55.777,3.501,290.436729,21.883958,1.33730216,1.35E-15,0.74777416,-7.54E-16,-1.10E-28,0.3,1.57E+07
J1921+34,66.641,9.263,290.2,34.1,1.444,*,0.692521,*,*,8.052,*
J1922+1131,46.762,-1.601,290.70946,11.53292,0.56207429,2.57E-17,1.779124249,-8.10E-17,*,10.486,3.47E+08
J1922+1733,52.08,1.23,290.721742,17.556519,0.236170877,1.34E-14,4.234222321,-2.40E-13,*,5.36,2.80E+05
J1922+2018,54.417,2.678,290.53336,20.29926,1.172763402,6.49E-16,0.852686909,-4.72E-16,-1.30E-27,5.28,2.86E+07
J1922+2110,55.278,2.935,290.72305,21.17832,1.077924343,8.18E-15,0.927708894,-7.04E-15,1.30E-26,4,2.09E+06
J1922+58,89.671,19.073,290.5,58.5,0.529623,*,1.88814,*,*,5.524,*
J1923-0408,32.848,-8.944,290.79567,-4.1387,1.149269371,6.80E-17,0.870118029,-5.15E-17,*,1.236,2.68E+08
J1923+1143g,47.016,-1.686,290.91,11.72,0.37121,*,2.693893,*,*,7.783,*
J1923+1521g,50.17,0.123,290.8,15.35,1.04876,*,0.953507,*,*,6.995,*
